start,ERGO_ID,Gene,E/N,length,transposon_insertions,assertion_error,SP_ID,functional_role,blattner_id,ERGO,eri
915696,REC00843,ybjD,N,552,"63, 77, 144, 154, 169, 189",,P75828,Hypothetical protein ybjD,b0876,UNC,0.03
918343,REC04676,ybjX,N,330,"46, 83, 133",,P75829,Hypothetical protein ybjX,b0877,UNC,0.16
918431,REC00845,macA,N,380,"34, 63, 87, 122, 135, 308",,P75830,Macrolide-specific efflux protein macA precursor,b0878,MTR,0.38
919570,REC00846,macB,N,648,"16, 56, 109, 191, 564",,P75831,Macrolide-specific ABC-type efflux carrier,b0879,MTR,0.75
921813,REC04677,cspD,N,74,65,,P24245,Cold shock-like protein cspD,b0880,SMC,0.72
922136,REC00848,yljA,E,106,91,0.32,P75832,Protein yljA,b0881,UNC,0.44
922487,REC00849,clpA,N,758,"45, 87, 130, 272, 353, 521, 550, 713",,P15716,ATP-dependent clp protease ATP-binding subunit clpA,b0882,PMS,0.75
925666,REC04678,infA,?,72,-,,P02998,Translation initiation factor IF-1,b0884,UNC,0.97
926655,REC04679,aat,N,234,"6, 38",,P23885,Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.-),b0885,NAM,0.44
928418,REC04680,cydC,E,573,528,< 0.001,P23886,Transport ATP-binding protein cydC,b0886,MTR,0.34
930185,REC04681,cydD,E,588,-,< 0.001,P29018,Transport ATP-binding protein cydD,b0887,MTR,0.31
931273,REC04682,trxB,N,321,"60, 112, 117, 158, 224, 236",,P09625,Thioredoxin reductase (EC 1.6.4.5),b0888,MSM,1.00
931818,REC00855,lrp,N,164,"4, 23, 46, 84, 142",,P19494,Leucine-responsive regulatory protein,b0889,RCD,0.47
932447,REC00856,ftsK,N*,1329,"750, 803, 847, 928, 931, 1008, 1050, 1113, 1159, 1187, 1290",,P46889,Cell division protein ftsK,b0890,RCD,0.81
936592,REC00857,lolA,N,204,38,,P39178,Outer-membrane lipoproteins carrier protein precursor,b0891,LPC,0.19
937217,REC00858,ycaJ,N,447,"37, 53, 139, 182, 289, 334, 410",,P45526,Hypothetical protein ycaJ,b0892,UNC,0.72
938651,REC00859,serS,E,430,-,< 0.01,P09156,Seryl-tRNA synthetase (EC 6.1.1.11),b0893,PMS,1.00
940269,REC00860,dmsA,N,785,"24, 55, 308, 404, 668, 716",,P18775,Anaerobic dimethyl sulfoxide reductase chain A precursor (EC 1.8.99.-),b0894,BEN,0.16
942637,REC00861,dmsB,N,205,"52, 170",,P18776,Anaerobic dimethyl sulfoxide reductase chain B,b0895,BEN,0.16
943256,REC00862,dmsC,N,287,"53, 228",,P18777,Anaerobic dimethyl sulfoxide reductase chain C,b0896,BEN,0.00
944780,REC04683,ycaC,E,208,-,< 0.1,P21367,Protein ycaC,b0897,UNC,0.13
945094,REC00864,ycaD,N,382,"146, 207, 325, 357",,P21503,Hypothetical protein ycaD,b0898,UNC,0.56
946260,REC00865,ycaM,N,540,"81, 107, 151, 167, 293, 341, 518, 530, 537",,P75835,Hypothetical transporter ycaM,b0899,UNC,0.00
948791,REC04684,ycaN,N,302,"31, 32, 64, 78, 138, 169, 209, 254, 270, 284",,P75836,Hypothetical transcriptional regulator ycaN,b0900,UNC,0.72
948891,REC00867,ycaK,N,196,"28, 33, 79, 108, 169",,P43340,Putative NAD(P)H oxidoreductase ycaK (EC 1.6.99.-),b0901,UNC,0.22
950303,REC04685,pflA,N,246,"23, 205",,P09374,Pyruvate formate-lyase 1 activating enzyme (EC 1.97.1.4),b0902,CHM,0.31
952777,REC04686,pflB,N,760,"159, 168, 209, 371, 403, 434, 479",,P09373,Formate acetyltransferase 1 (EC 2.3.1.54),b0903,CHM,0.22
953689,REC04687,focA,N,285,"7, 28, 120, 171, 245",,P21501,Probable formate transporter 1,b0904,UNC,0.19
955864,REC04688,ycaO,N,589,"6, 54, 151, 277, 278, 349, 389, 565, 575",,P75838,Hypothetical protein ycaO,b0905,UNC,0.13
955985,REC00872,ycaP,N,230,"45, 155",,P75839,Hypothetical protein ycaP,b0906,UNC,0.16
956876,REC00873,serC,N,362,"123, 191, 233, 283",,P23721,Phosphoserine aminotransferase (EC 2.6.1.52),b0907,NCM,0.56
958035,REC00874,aroA,N,427,"29, 53, 175, 252, 402, 426",,P07638,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19),b0908,AAM,0.88
959463,REC00875,ycaL,N,262,"24, 99, 210",,P43674,Putative metalloprotease ycaL (EC 3.4.24.-),b0909,UNC,0.13
960424,REC00876,cmk,E,227,-,< 0.1,P23863,Cytidylate kinase (EC 2.7.4.14),b0910,NCM,0.88
961218,REC00877,rpsA,N*,557,475,,P02349,30S ribosomal protein S1,b0911,PMS,0.97
963051,REC00878,ihfB,N,94,42,,P08756,Integration host factor beta-subunit,b0912,NAM,0.44
963465,REC00879,ycaI,N,780,"98, 98, 215, 381, 541, 575, 613, 675, 717",,P37443,Hypothetical protein ycaI,b0913,UNC,0.56
965844,REC00880,msbA,E,582,-,< 0.01,P27299,Probable transport ATP-binding protein msbA,b0914,UNC,0.91
967589,REC00881,lpxK,E,328,-,< 0.01,P27300,Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130),b0915,LPC,0.53
968612,REC00882,ycaQ,N,410,"207, 244, 304, 313",,P75843,Hypothetical protein ycaQ,b0916,UNC,0.22
969896,REC00883,ycaR,?,60,-,,P75844,Protein ycaR,b0917,UNC,0.28
970075,REC00884,kdsB,E,248,-,< 0.05,P04951,3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38),b0918,CHM,0.53
970975,REC00885,ycbJ,N,297,"78, 140, 209, 258, 264",,P75845,Hypothetical protein ycbJ,b0919,UNC,0.00
972624,REC04689,ycbC,N,259,"33, 74",,P36565,Hypothetical protein ycbC,b0920,UNC,0.22
972760,REC00887,smtA,N,261,"93, 103, 139, 142, 201",,P36566,Protein smtA,b0921,UNC,0.09
973542,REC00888,mukF,E,440,-,< 0.001,P36567,MukF protein,b0922,UNC,0.06
974872,REC00889,mukE,E,225,-,< 0.05,P22524,MukE protein,b0923,UNC,0.06
975549,REC00890,mukB,E,1486,-,< 0.001,P22523,Cell division protein mukB,b0924,RCD,0.06
980270,REC00891,ycbB,N,615,"62, 205, 262, 550, 611",,P22525,Hypothetical protein ycbB,b0925,UNC,0.22
982298,REC00892,ycbK,E,182,-,< 0.1,P75848,Hypothetical protein ycbK,b0926,UNC,0.22
982873,REC00893,ycbL,N,215,"3, 112",,P75849,Hypothetical protein ycbL,b0927,UNC,0.81
984932,REC04690,aspC,N,396,"147, 260, 294, 385",,P00509,Aspartate aminotransferase (EC 2.6.1.1),b0928,AAM,0.25
986205,REC04691,ompF,N,362,"6, 49, 70, 98, 118, 133, 263",,P02931,Outer membrane protein F precursor,b0929,SMC,0.06
988208,REC04692,asnS,E,466,-,< 0.001,P17242,Asparaginyl-tRNA synthetase (EC 6.1.1.22),b0930,PMS,0.50
989579,REC04693,pncB,N,400,"49, 85, 119, 139, 157, 180, 201, 247, 321, 397",,P18133,Nicotinate phosphoribosyltransferase (EC 2.4.2.11),b0931,NCM,0.31
989845,REC00898,pepN,N,870,"76, 81, 182, 462, 556, 753, 841, 850",,P04825,Aminopeptidase N (EC 3.4.11.2),b0932,PMS,0.53
993267,REC04694,ssuB,N,255,"112, 255",,P38053,Putative aliphatic sulfonates transport ATP-binding protein ssuB,b0933,UNC,0.25
994100,REC04695,ssuC,N,278,"18, 71, 138, 177, 244, 258",,P75851,Putative aliphatic sulfonates transport permease protein ssuC,b0934,UNC,0.34
995211,REC04696,ssuD,N,381,"154, 204, 270, 324",,P80645,Alkanesulfonate monooxygenase (EC 1.1.-.-),b0935,MSM,0.22
996209,REC04697,ssuA,N,333,"89, 153",,P75853,Putative aliphatic sulfonates binding protein precursor,b0936,UNC,0.25
996735,REC04698,ssuE,N,191,145,,P80644,NAD(P)H-dependent FMN reductase (EC 1.6.8.1),b0937,BEN,0.25
997082,REC00904,ycbQ,N,182,"50, 58, 98, 173",,P75855,Hypothetical fimbrial-like protein ycbQ precursor,b0938,UNC,0.03
997713,REC00905,ycbR,N,233,"11, 98, 103, 168, 224",,P75856,Hypothetical fimbrial chaperone ycbR precursor,b0939,UNC,0.00
998439,REC00906,ycbS,N,866,"14, 184, 188, 188, 210, 240, 242, 259, 272, 292, 347, 408, 445, 477, 642, 643, 665, 798",,P75857,Hypothetical outer membrane usher protein ycbS precursor,b0940,UNC,0.06
1001030,REC00907,ycbT,N,356,"6, 74, 85, 129, 245, 325",,P75858,Hypothetical fimbrial-like protein ycbT precursor,b0941,UNC,0.00
1002112,REC00908,ycbU,N,180,82,,P75859,Hypothetical fimbrial-like protein ycbU precursor,b0942,UNC,0.00
1002614,REC00909,ycbV,N,187,"63, 109",,P75860,Hypothetical fimbrial-like protein ycbV precursor,b0943,UNC,0.00
1003143,REC00910,ycbF,N,245,"17, 182",,P40876,Hypothetical fimbrial chaperone ycbF precursor,b0944,UNC,0.00
1003991,REC00911,pyrD,N,336,"11, 56, 79, 157, 207, 225, 301, 328",,P05021,Dihydroorotate dehydrogenase (EC 1.3.3.1),b0945,NCM,0.84
1005139,REC00912,ycbW,N,192,"37, 49, 189",,P75862,Hypothetical protein ycbW,b0946,UNC,0.03
1006823,REC04699,ycbX,N,369,"46, 136, 154, 164, 200, 221, 242",,P75863,Hypothetical protein ycbX,b0947,UNC,0.16
1007067,REC00914,ycbY,N,702,"12, 20, 53, 56, 205, 464, 546, 552",,P75864,Hypothetical protein ycbY,b0948,UNC,0.56
1009187,REC00915,uup,N,635,"6, 121, 160, 236, 336, 374, 397, 493",,P43672,ABC transporter ATP-binding protein uup,b0949,MTR,0.88
1011224,REC00916,pqiA,N,417,"69, 274, 319, 322",,P43670,Paraquat-inducible protein A,b0950,UNC,0.13
1012482,REC00917,pqiB,N,546,"126, 158, 250",,P43671,Paraquat-inducible protein B,b0951,UNC,0.16
1014134,REC00918,ymbA,N,182,"25, 26, 66, 125",,P75866,Hypothetical protein ymbA,b0952,UNC,0.06
1014938,REC00919,rmf,?,55,-,,P22986,Ribosome modulation factor,b0953,PMS,0.06
1015693,REC04700,fabA,E,172,-,< 0.1,P18391,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.60),b0954,LPC,0.31
1017522,REC04701,ycbZ,N,586,"29, 41, 64, 149, 181, 253, 276, 310, 331, 509",,P75867,Putative protease La homolog (EC 3.4.21.-),b0955,UNC,0.78
1017708,REC00922,ycbG,N,150,"32, 77, 85",,P45569,Hypothetical protein ycbG,b0956,UNC,0.06
1019276,REC04702,ompA,N,346,47,,P02934,Outer membrane protein A precursor,b0957,SMC,0.47
1020142,REC04703,sulA,N,169,"10, 82, 108, 124, 159",,P08846,Cell division inhibitor,b0958,RCD,0.03
1020361,REC00925,yccR,N,209,"21, 40, 79, 195",,P75869,Hypothetical protein yccR,b0959,UNC,0.19
1023115,REC04704,yccS,N,720,"128, 133, 330, 364, 452, 514, 533, 567, 678",,P75870,Hypothetical protein yccS,b0960,UNC,0.22
1023571,REC04705,yccF,N,148,"93, 125",,P37065,Hypothetical protein yccF,b0961,UNC,0.09
1023694,REC00928,helD,N,684,"68, 73, 275, 332, 340, 452, 519",,P15038,Helicase IV (EC 3.6.1.-),b0962,NAM,0.06
1026247,REC04706,mgsA,E,155,-,< 0.2,P37066,Methylglyoxal synthase (EC 4.2.3.3),b0963,CHM,0.38
1026996,REC04707,yccT,N,220,"22, 47, 119",,P75873,Hypothetical protein yccT precursor,b0964,UNC,0.06
1027088,REC00931,yccU,E,164,162,< 0.2,P75874,Protein yccU,b0965,UNC,0.31
1027995,REC04708,yccV,N,122,79,,P75875,Hypothetical protein yccV,b0966,UNC,0.16
1029105,REC04709,yccW,N,367,"166, 232, 309, 366",,P75876,Hypothetical protein yccW,b0967,UNC,0.56
1029287,REC00934,yccX,N,92,48,,P75877,Putative acylphosphatase (EC 3.6.1.7),b0968,UNC,0.50
1029948,REC04710,yccK,X,128,-,,P45572,Hypothetical protein yccK,b0969,UNC,0.13
1030641,REC04711,yccA,N,219,"29, 53, 90",,P06967,Hypothetical protein yccA,b0970,UNC,0.22
1031362,REC00937,hyaA,E,372,-,< 0.05,P19928,Hydrogenase-1 small chain precursor (EC 1.18.99.1),b0972,BEN,0.16
1032477,REC00938,hyaB,N,597,"34, 100, 293",,P19927,Hydrogenase-1 large chain (EC 1.18.99.1),b0973,BEN,0.19
1034289,REC00939,hyaC,E,235,-,< 0.1,P19929,Probable Ni/Fe-hydrogenase 1 B-type cytochrome subunit,b0974,UNC,0.09
1034993,REC00940,hyaD,E,195,"174, 176",< 0.2,P19930,Hydrogenase 1 maturation protease (EC 3.4.24.-),b0975,BEN,0.00
1035577,REC00941,hyaE,N,132,"74, 127",,P19931,Hydrogenase-1 operon protein hyaE,b0976,UNC,0.00
1035972,REC00942,hyaF,N,285,"59, 94",,P19932,Hydrogenase-1 operon protein hyaF,b0977,UNC,0.00
1036963,REC00943,appC,N,514,"82, 148, 183, 193, 353, 399, 423, 506",,P26459,Cytochrome BD-II oxidase subunit I (EC 1.10.3.-),b0978,BEN,0.25
1038519,REC00944,appB,N,378,"23, 94, 211, 272",,P26458,Cytochrome BD-II oxidase subunit II (EC 1.10.3.-),b0979,BEN,0.03
1039840,REC00945,appA,N,432,"127, 151",,P07102,Periplasmic appA protein precursor,b0980,MSM,0.03
1043433,REC04712,etk,N,726,"3, 140, 223, 474, 542, 580, 623",,P38134,Tyrosine-protein kinase etk (EC 2.7.1.112),b0981,SMC,0.31
1043911,REC04713,etp,N,152,"9, 42, 152",,P75880,Low molecular weight protein-tyrosine-phosphatase etp (EC 3.1.3.48),b0982,CHM,0.59
1045026,REC04714,yccZ,N,379,"41, 66, 88, 216, 272, 324",,P75881,Putative polysaccharide export protein yccZ precursor,b0983,UNC,0.16
1047168,REC04715,ymcA,N,698,"17, 213, 311, 598, 696",,P75882,Hypothetical lipoprotein ymcA precursor,b0984,UNC,0.03
1047914,REC04716,ymcB,N,248,"17, 51, 57, 122, 144, 168, 244",,P75883,Hypothetical protein ymcB precursor,b0985,UNC,0.00
1048555,REC04717,ymcC,N,214,"34, 82, 84, 129, 151",,P75884,Hypothetical lipoprotein ymcC precursor,b0986,UNC,0.00
1048985,REC04718,ymcD,E,107,-,< 0.3,P75885,Hypothetical protein ymcD,b0987,UNC,0.00
1049250,REC00953,insB4,E,167,-,< 0.1,P57998,Insertion element IS1 4 protein insB,b0988,PHT,0.03
1050398,REC06609,cspH,?,70,-,,P56253,Cold shock-like protein cspH,b0989,UNC,0.00
1050684,REC06610,cspG,N,70,"3, 23, 44, 65",,Q47130,Cold shock-like protein cspG,b0990,UNC,0.72
1051070,REC00954,sfa,N,76,"23, 46, 55",,P52634,Sfa protein,b0991,UNC,0.00
1051293,REC06673,gnsA,N,56,30,,P52635,GnsA protein,,UNC,0.00
1052585,REC04719,yccM,N,357,"73, 168, 291, 327",,P52636,Putative electron transport protein yccM,b0992,UNC,0.25
1055371,REC04720,torS,N,904,"6, 109, 138, 280, 310, 362, 393, 437",,P39453,Sensor protein torS (EC 2.7.3.-),b0993,SMC,0.06
1055484,REC00957,torT,N,342,"115, 289",,P38683,Periplasmic protein torT precursor,b0994,MSM,0.03
1057177,REC04721,torR,E,230,-,< 0.2,P38684,TorCAD operon transcriptional regulatory protein torR,b0995,SMC,0.06
1057307,REC00959,torC,N,390,"56, 80, 297, 337",,P33226,Cytochrome c-type protein torC,b0996,SMC,0.06
1058479,REC00960,torA,N,848,"36, 80, 195, 348, 737, 779, 831",,P33225,Trimethylamine-N-oxide reductase 1 precursor (EC 1.6.6.9),b0997,SMC,0.06
1061022,REC00961,torD,E,199,186,< 0.3,P36662,Chaperone protein torD,b0998,SMC,0.03
1062078,REC04722,yccD,E,101,-,0.51,P36660,Hypothetical protein yccD,b0999,UNC,0.00
1062998,REC04723,cbpA,N,306,"18, 111",,P36659,Curved DNA-binding protein,b1000,UNC,0.34
1063259,REC00964,yccE,N,418,"21, 168, 393",,P36661,Hypothetical protein yccE,b1001,UNC,0.00
1064808,REC00965,agp,N,413,23,,P19926,Glucose-1-phosphatase precursor (EC 3.1.3.10),b1002,MSM,0.00
1066314,REC04724,yccJ,?,75,-,,P46131,Hypothetical protein yccJ,b1003,UNC,0.00
1066931,REC04725,wrbA,N,198,-,,P30849,Flavoprotein wrbA,b1004,UNC,0.34
1067141,REC00968,ycdF,?,76,-,,Q9ZN60,"ORF, HYPOTHETICAL PROTEIN",b1005,UNC,0.00
1069128,REC04726,ycdG,N,464,"125, 143, 172, 182, 254, 311, 381",,P75892,Putative purine permease ycdG,b1006,UNC,0.47
1069541,REC04727,ycdH,N,152,"33, 91, 126, 137",,P75893,Putative flavin:NADH reductase ycdH (EC 1.6.8.-),b1007,MSM,0.28
1070178,REC04728,ycdI,N,196,"11, 150",,P75894,Putative NADH dehydrogenase/NAD(P)H nitroreductase ycdI (EC 1.-.-.-),b1008,UNC,0.13
1070988,REC04729,ycdJ,N,266,32,,P75895,Hypothetical protein ycdJ,b1009,UNC,0.13
1071382,REC04730,ycdK,E,128,-,< 0.3,P75896,Hypothetical protein ycdK,b1010,UNC,0.81
1072128,REC04731,ycdL,E,244,233,< 0.1,P75897,Hypothetical isochorismatase family protein ycdL,b1011,UNC,0.34
1073234,REC04732,ycdM,N,382,"92, 266, 334",,P75898,Putative monooxygenase ycdM,b1012,UNC,0.13
1073465,REC00976,ycdC,N,212,"70, 153",,P75899,Hypothetical transcriptional regulator ycdC,b1013,UNC,0.28
1078105,REC04733,putA,N,1320,"13, 17, 42, 230, 265, 363, 410, 428, 521, 610, 751, 770, 814, 823, 973, 984, 1242, 1265",,P09546,Bifunctional putA protein,b1014,AAM,0.53
1078528,REC00978,putP,N,502,"74, 151, 202, 287",,P07117,Sodium/proline symporter,b1015,MTR,0.44
1080570,REC00979,,N,39,17,,P75901,Hypothetical protein ycdN,b1016,UNC,0.00
1080677,REC00980,ycdN,N,243,92,,P75901,Hypothetical protein ycdN,b1017,UNC,0.16
1081466,REC00981,ycdO,N,375,"171, 184, 354",,P75902,Protein ycdO,b1018,UNC,0.13
1082599,REC00982,ycdB,N,423,"19, 53, 149, 207, 320, 375",,P31545,Hypothetical protein ycdB precursor,b1019,UNC,0.16
1084215,REC00983,phoH,N,354,"20, 183, 234, 327",,P31544,PhoH protein,b1020,UNC,0.69
1085742,REC04734,ycdP,N,137,"78, 108, 127",,P75904,Hypothetical protein ycdP,b1021,UNC,0.00
1087069,REC04735,ycdQ,N,441,"11, 69, 110, 205, 266, 292, 298, 332, 343, 370, 396, 412, 440",,P75905,Hypothetical protein ycdQ,b1022,UNC,0.38
1089080,REC04736,ycdR,N,672,"24, 61, 85, 120, 165, 194, 202, 254, 260, 276, 299, 329, 652",,P75906,Hypothetical lipoprotein ycdR precursor,b1023,UNC,0.06
1091512,REC04737,ycdS,N,807,"135, 256, 358, 379, 433, 710, 762, 799",,P75907,Hypothetical protein ycdS precursor,b1024,UNC,0.03
1092099,REC00988,ycdT,N,452,"13, 31, 58, 158, 235, 272, 283, 307, 365, 374, 413, 424",,P75908,Hypothetical protein ycdT,b1025,UNC,0.59
1094364,REC06639,insF4,N,288,"73, 103, 144, 175, 262",,P05822,Transposase insF for insertion sequence IS3A/B/C/D/E/fA,b1026,PHT,0.56
1094669,REC06640,insE4,E,102,-,< 0.3,P77681,Transposase insE for insertion sequence IS3A/B/C/D/E/fA/fB,b1027,PHT,0.56
1094746,REC00991,,N,107,"12, 68",,P75909,ORF_ID:O230#4,b1028,UNC,0.00
1095066,REC00992,ycdU,N,328,"27, 165, 196, 238, 270",,P75910,Hypothetical protein ycdU,b1029,UNC,0.00
1096171,REC00993,,N,83,"67, 76",,P75911,FROM BASES 1094678 TO 1105023 (SECTION 95 OF 400) OF THE COMPLETE GENOME,b1030,UNC,0.00
1097070,REC00995,ycdW,E,325,72,< 0.01,P75913,Putative 2-hydroxyacid dehydrogenase ycdW,b1033,UNC,0.25
1098102,REC00996,ycdX,E,245,-,< 0.01,P75914,Hypothetical protein ycdX precursor,b1034,UNC,0.06
1098863,REC00997,ycdY,N,184,38,,P75915,Hypothetical protein ycdY,b1035,UNC,0.03
1099471,REC00998,ycdZ,E,179,-,< 0.1,P75916,Hypothetical protein ycdZ,b1036,UNC,0.03
1100907,REC04740,csgG,N,277,"2, 12, 47, 91, 228, 230",,P52103,Curli production assembly/transport component csgG precursor,b1037,UNC,0.00
1101350,REC04741,csgF,N,138,31,,P52104,Curli production assembly/transport component csgF precursor,b1038,UNC,0.00
1101764,REC04742,csgE,E,129,-,< 0.2,P52105,Curli production assembly/transport component csgE precursor,b1039,UNC,0.00
1102419,REC04743,csgD,N,216,"101, 171",,P52106,Probable csgAB operon transcriptional regulatory protein,b1040,UNC,0.06
1103174,REC01003,csgB,N,151,"15, 27, 68, 114, 127",,P39828,Minor curlin subunit precursor,b1041,SMC,0.03
1103670,REC01004,csgA,N,151,"18, 52, 142",,P28307,Major curlin subunit precursor,b1042,SMC,0.00
1104184,REC01005,csgC,N,110,71,,P52107,Putative curli production protein csgC precursor,b1043,UNC,0.00
1104637,REC01006,ymdA,X,103,-,,P75917,Hypothetical protein ymdA precursor,b1044,UNC,0.00
1105043,REC01007,ymdB,N,177,174,,P75918,Hypothetical protein ymdB,b1045,UNC,0.28
1105518,REC01008,ymdC,N,493,"16, 155, 162, 210, 366, 404, 450, 473",,P75919,Hypothetical protein ymdC,b1046,UNC,0.63
1108164,REC04744,mdoC,N,385,"15, 58, 79, 119, 165, 208, 262, 340",,P75920,Glucans biosynthesis protein mdoC,b1047,CHM,0.03
1108558,REC01010,mdoG,N,511,"201, 203, 241, 295, 334, 357, 467",,P33136,Periplasmic glucans biosynthesis protein mdoG precursor,b1048,CHM,0.13
1110086,REC01011,mdoH,N,847,"57, 167, 220, 377, 377, 470, 484, 661",,P33137,Periplasmic glucans biosynthesis protein mdoH,b1049,CHM,0.16
1112802,REC01012,yceK,N,75,29,,P45806,Hypothetical protein yceK precursor,b1050,UNC,0.00
1113407,REC04745,msyB,E,125,-,< 0.3,P25738,Acidic protein msyB,b1051,UNC,0.00
1113532,REC04746,,?,32,-,,P75923,FROM BASES 1104966 TO 1115945 (SECTION 96 OF 400) OF THE COMPLETE GENOME,b1052,UNC,0.00
1114713,REC04747,yceE,N,408,"11, 175, 202, 225, 340, 366",,P25744,Hypothetical transport protein yceE,b1053,UNC,0.81
1115805,REC04748,htrB,N,306,43,,P24187,Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.-),b1054,LPC,0.50
1116030,REC01017,yceA,N,350,"25, 31, 75, 160, 267, 300, 348",,P24188,Hypothetical protein yceA,b1055,UNC,0.63
1117699,REC04749,yceI,N,191,"28, 123",,P37904,Protein yceI precursor,b1056,UNC,0.44
1118269,REC04750,yceJ,N,188,140,,P75925,Cytochrome b561 homolog 2,b1057,UNC,0.31
1118670,REC04751,yceO,?,46,-,,P75926,Hypothetical protein yceO,b1058,UNC,0.00
1119809,REC04752,solA,N,372,"4, 49, 112, 275",,P40874,N-methyl-L-tryptophan oxidase (EC 1.5.3.-),b1059,AAM,0.22
1120178,REC04753,yceP,N,84,31,,P75927,Hypothetical protein yceP,b1060,UNC,0.00
1120710,REC04754,dinI,N,81,64,,Q47143,DNA-damage-inducible protein I,b1061,NAM,0.00
1121830,REC04755,pyrC,N,348,"77, 206, 253, 328",,P05020,Dihydroorotase (EC 3.5.2.3),b1062,NCM,0.31
1122496,REC04756,yceB,N,186,12,,P09995,Putative lipoprotein yceB precursor,b1063,UNC,0.00
1123277,REC04757,grxB,N,215,142,,P39811,Glutaredoxin 2,b1064,AAM,0.06
1124579,REC04758,yceL,N,412,281,,P77042,Hypothetical transport protein yceL,b1065,UNC,0.06
1124785,REC01028,rimJ,N,194,"40, 45, 143",,P09454,Ribosomal-protein-alanine acetyltransferase (EC 2.3.1.128),b1066,PMS,0.41
1125380,REC01029,yceH,N,215,"60, 177, 197",,P29217,Hypothetical protein yceH,b1067,UNC,0.13
1126029,REC01030,mviM,N,307,"17, 111, 166, 182",,P75931,Virulence factor mviM homolog,b1068,UNC,0.13
1127062,REC01031,mviN,E,511,-,< 0.01,P75932,Virulence factor mviN homolog,b1069,UNC,0.81
1129053,REC04759,flgN,N,138,81,,P43533,Flagella synthesis protein flgN,b1070,UNC,0.00
1129351,REC04760,flgM,N,97,"32, 61",,P43532,Negative regulator of flagellin synthesis,b1071,RCD,0.00
1130086,REC04761,flgA,N,219,114,,P75933,Flagella basal body P-ring formation protein flgA precursor,b1072,SMC,0.13
1130241,REC01035,flgB,N,138,"9, 112",,P75934,Flagellar basal-body rod protein flgB,b1073,SMC,0.34
1130661,REC01036,flgC,N,134,26,,P75935,Flagellar basal-body rod protein flgC,b1074,SMC,0.56
1131077,REC01037,flgD,N,231,"10, 179",,P75936,Basal-body rod modification protein flgD,b1075,SMC,0.28
1131797,REC01038,flgE,N,402,"46, 161, 356, 372",,P75937,Flagellar hook protein flgE,b1076,SMC,0.53
1133025,REC01039,flgF,N,251,"18, 53, 163",,P75938,Flagellar basal-body rod protein flgF,b1077,SMC,0.47
1133952,REC01040,flgG,N,260,"9, 136, 217",,P75939,Flagellar basal-body rod protein flgG,b1078,SMC,0.56
1134787,REC01041,flgH,N,232,"50, 63",,P75940,Flagellar L-ring protein precursor,b1079,SMC,0.38
1135497,REC01042,flgI,N,365,"97, 219, 332, 358",,P75941,Flagellar P-ring protein precursor,b1080,SMC,0.41
1136594,REC01043,flgJ,N,313,"3, 39, 173",,P75942,Peptidoglycan hydrolase flgJ (EC 3.2.1.-),b1081,SMC,0.22
1137601,REC01044,flgK,N,547,"350, 485, 489",,P33235,Flagellar hook-associated protein 1,b1082,SMC,0.56
1139256,REC01045,flgL,X,317,-,,P29744,Flagellar hook-associated protein 3,b1083,SMC,0.28
1143590,REC04762,rne,E,1061,-,< 0.001,P21513,Ribonuclease E (EC 3.1.4.-),b1084,NAM,0.56
1143671,REC01047,,E,124,-,< 0.3,P75943,FROM BASES 1137539 TO 1147976 (SECTION 99 OF 400) OF THE COMPLETE GENOME,b1085,UNC,0.00
1144163,REC01048,rluC,N,319,"180, 220, 269, 282",,P23851,Ribosomal large subunit pseudouridine synthase C (EC 4.2.1.70),b1086,NAM,0.72
1145857,REC04763,yceF,N,207,"142, 160",,P27244,Maf-like protein yceF,b1087,UNC,0.75
1146017,REC01050,yceD,N,173,"92, 158",,P14189,Hypothetical protein yceD,b1088,UNC,0.19
1146590,REC01051,rpmF,?,57,-,,P02435,50S ribosomal protein L32,b1089,PMS,0.69
1146874,REC01052,plsX,N,346,"15, 124, 162, 233, 307",,P27247,Fatty acid/phospholipid synthesis protein plsX,b1090,UNC,0.72
1147982,REC01053,fabH,E,317,-,< 0.05,P24249,3-oxoacyl-[acyl-carrier-protein] synthase III (EC 2.3.1.41),b1091,LPC,0.84
1148951,REC01054,fabD,E,309,-,< 0.05,P25715,Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39),b1092,LPC,0.84
1149893,REC01055,fabG,E,244,-,< 0.05,P25716,3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100),b1093,LPC,0.91
1150838,REC01056,acpP,?,78,-,,P02901,Acyl carrier protein,b1094,LPC,0.88
1151162,REC01057,fabF,N,413,"10, 51, 161, 187, 315, 332",,P39435,3-oxoacyl-[acyl-carrier-protein] synthase II (EC 2.3.1.41),b1095,LPC,0.91
1152523,REC01058,pabC,N,269,"131, 143, 167, 258",,P28305,4-amino-4-deoxychorismate lyase (EC 4.-.-.-),b1096,NCM,0.09
1153335,REC01059,yceG,N,340,"42, 282",,P28306,Hypothetical protein yceG,b1097,UNC,0.78
